from_stop_name,to_stop_name,route_id,route_long_name,max_kmph,max_distance_miles,number_of_trips
GOETHALS RD @ CONSTITUTION RD,GUNSTON RD @ GOETHALS RD,6651,Fort Belvoir Express,1686.81,0.29,6
2711 PROSPERITY AVE,DUNN LORING METRO,6667,Dunn Loring - Navy Federal - Tysons,1212.95,0.42,30
MONUMENT DR @ FAIRFAX CORNER AVE,MONUMENT DR @ WEST OX,6689,Fairfax Govt Center,114.99,0.73,2
SUNRISE VLY @ CAMPUS COMMONS DR W,WIEHLE METRO BAY J,6675,Reston South - Glade - South Lakes,6.98,0.33,26
WIEHLE METRO BAY C,WIEHLE AVE @ ROGER BACON DR,6718,Hunters Woods - Lake Anne,6.95,0.3,16
PARK CENTER RD @ TOWERVIEW RD,EDS DR @ MCLEAREN RD,6707,Centreville Rd,6.72,0.27,34
SUNRISE VALLEY DR @ WETHERSFIELD CT,WIEHLE METRO,6680,Reston South - Soapstone,6.24,0.31,22
WYCOMBE ST @ REGENTS PARK RD,CENTREVILLE P+R,6697,Sully Station,6.19,0.52,2
PENTAGON CITY METRO,METRO PENTAGON Bay L7,6685,PENTAGON EXPRESS,6.02,0.5,7
SUNRISE VALLEY DR @ WETHERSFIELD CT,WIEHLE METRO BAY G,6710,Sunrise Valley,5.97,0.32,14
SPRING HILL RD @ TURNING LEAF LA,TYSONS WESTPARK,6703,Lewinsville Road,5.96,0.26,5
18TH ST @ CRYSTAL CITY METRO,23RD ST @ CRYSTAL DRIVE,6685,PENTAGON EXPRESS,5.81,0.3,13
NUTLEY ST @ KINGSLEY RD,VIENNA METRO NORTH BAY F,6668,Maple Avenue - Tysons,5.64,0.37,8
WESTPARK DR @ PARK RUN DR,JONES BRANCH DR @ PARK RUN DR,6663,Central Tysons - Tysons Corner Metr,4.49,0.35,26
