from_stop_name,to_stop_name,route_id,route_long_name,max_kmph,max_distance_miles,number_of_trips
HARFORD RD & NORTHERN PKY sb,NORTHERN PKWY & MCCLEAN BLVD fs eb,10417,STATE CENTER - CARNEY/HILLENDALE,1673.48,0.87,5
NORTHERN PKWY & MCCLEAN BLVD fs eb,NORTHERN PKWY & HAMPNETT AVE eb,10417,STATE CENTER - CARNEY/HILLENDALE,1516,0.78,5
WEST CAMPUS DR & FINE ARTS BUILDING eb,COLLEGE DR & RING RD EAST nb fs,10176,PATAPSCO LR - ANNAPOLIS,774.62,0.4,2
BACK RIVER NECK RD & LANFLAIR RD sb,MIDDLEBOROUGH RD & BRIGHTON MANOR DR wb,10418,DOWNTOWN - WHISPERING WOODS,602.41,0.31,2
BAYVIEW BLVD & HOPKINS-BAYVIEW DR sb,EASTERN AVE & ELRINO ST eb,10396,ESSEX - WEST BALTIMORE MARC,456.39,0.39,3
HOSPITAL DR & CRAIN HWY wb,CRAIN HWY & OAK MANOR DR nb,10176,PATAPSCO LR - ANNAPOLIS,425.23,0.29,7
MIDDLEBOROUGH RD & EDDYSTONE PL fs sb,STEMMERS RUN RD & OLD EASTERN AVE fs nb,10418,DOWNTOWN - WHISPERING WOODS,270.73,1.21,2
OLD EASTERN AVE & ESSEX AVE eb,BACK RIVER NECK RD & EVERGREEN WY sb,10418,DOWNTOWN - WHISPERING WOODS,239.57,0.37,2
DUFFIELFS W VA MARC wb,MARTINSBURG W VA MARC,10222,BRUNSWICK - WASHINGTON,191.77,9.93,2
EASTERN AVE & DIAMOND POINT RD wb,EASTERN AVE & ROLLING MILL RD wb,10171,MORAVIA - WHISPERING WOODS,138.56,0.86,18
GAITHERSBURG PARK & RIDE,URBANA & PARK & RIDE LOT,10214,FREDERICK - COLLEGE PARK,137.61,14.25,1
BOYDS MARC wb,BARNESVILLE MARC wb,10222,BRUNSWICK - WASHINGTON,132.49,4.12,1
PRINCE FREDERICK P&R (FAIRGROUND & ARMORY RD),ST LEONARD CHURCH MD 2 & BALL RD,10250,ST LEONARD / PRINCE FREDERICK - DC,127.59,6.61,1
BWI RAIL STATION MARC sb,ODENTON MARC sb,10223,PENN STATION - WASHINGTON,117.41,7.3,1
ODENTON MARC sb,NEW CARROLLTON MARC sb,10223,PENN STATION - WASHINGTON,115.75,13.19,2
CROMWELL STATION LOOP,BALTIMORE ANNAPOLIS BLVD & MAPLE LN eb,10176,PATAPSCO LR - ANNAPOLIS,112.66,0.43,1
BWI RAIL STATION MARC sb,NEW CARROLLTON MARC sb,10223,PENN STATION - WASHINGTON,110.48,19.45,2
COVINGTON ST & CROSS ST mid sb,SARATOGA ST & HOWARD ST wb,10388,CMS - HOPKINS BAYVIEW,6.96,1.3,1
KIRK AVE & 25TH ST sb,KIRK AVE & BARTLETT ST,10399,STATE CENTER - SHEPPARD PRATT,6.95,0.27,2
EASTERN AVE & PONCA ST eb,LOMBARD ST & BIOSCIENCE DR fs wb,10388,CMS - HOPKINS BAYVIEW,6.92,0.57,144
TOWANDA AVE & ANOKA AVE opp sb,MONDAWMIN STATION,10400,PARK CIRCLE - REISTERSTOWN PLAZA,6.83,0.31,80
CHARLES ST & 31ST ST nb,33RD ST & ABELL AVE eb,10387,CURTIS BAY - HOPKINS/MORGAN,6.8,0.31,1
DOLPHIN ST & HOWARD ST fs wb,HOWARD ST & NORTH AVE nb,10194,FORT MCHENRY - SINAI HOSPITAL,6.79,0.43,31
JONES STATION RD & SEVERNA PARK PARK & RIDE eb,COLLEGE PKY & ANNE ARUNDEL COMMUNITY COLLEGE RD eb,10176,PATAPSCO LR - ANNAPOLIS,6.78,0.84,1
PENNSYLVANIA AVE & 10TH ST NW wb,12TH ST & G ST NW nb,10238,WALDORF - WASHINGTON DC,6.78,0.28,13
PENNSYLVANIA AVE & 10TH ST NW wb,12TH ST & G ST NW nb,10243,CHARLOTTE HALL/WALDORF -  DC,6.78,0.28,17
PENNSYLVANIA AVE & 10TH ST NW wb,12TH ST & G ST NW nb,10247,PINDELL - WASHINGTON DC,6.78,0.28,3
PENNSYLVANIA AVE & 10TH ST NW wb,12TH ST & G ST NW nb,10248,NORTH BEACH/PG EQUESTRIAN CTR - DC,6.78,0.28,11
K ST & 14TH ST NW wb,15TH ST & M & MASSACHUSETTS AVE NW mid nb,10227,COLUMBIA & SILVER SPRING - DC,6.7,0.28,10
K ST & 14TH ST NW wb,15TH ST & M & MASSACHUSETTS AVE NW mid nb,10229,COLUMBIA & SILVER SPRING - DC,6.7,0.28,3
REISTERSTOWN RD & REISTERSTOWN PLAZA ENTRANCE,ROGERS AVE METRO STATION BAY 6,10190,ROGERS AVE METRO-OWINGS MILLS METRO,6.7,1.04,16
RIVA RD & FOREST DR opp wb,HARRY S TRUMAN P & R,10217,ANNAPOLIS - WASHINGTON DC,6.7,0.55,6
RIVA RD & FOREST DR opp wb,HARRY S TRUMAN P & R,10218,SEVERNA PARK & ANNAPOLIS - DC,6.7,0.55,5
PRATT ST & LIGHT ST eb,GAY ST & FAYETTE ST nb,10180,CCBC CATONSVILLE - DOWNTOWN,6.68,0.39,15
FAYETTE ST & FRONT ST wb,SARATOGA ST & GUILFORD AVE wb,10388,CMS - HOPKINS BAYVIEW,6.66,0.32,41
YORK RD & CHESAPEAKE AVE nb,TOWSON TOWN CENTER BAY 1,10393,DOWNTOWN - TOWSON/LUTHERVILLE,6.58,0.48,16
GUILFORD AVE & SARATOGA ST fs sb,BALTIMORE ST & PRESIDENT ST fs eb,10388,CMS - HOPKINS BAYVIEW,6.56,0.34,23
FAYETTE ST & SAINT PAUL ST wb,HOPKINS PL & BALTIMORE ARENA mb sb,10234,HAVRE DE GRACE - HOPKINS,6.5,0.27,6
SANDPIPER CIR & WHITE MARSH HEALTH CENTER wb,WHITE MARSH PARK & RIDE,10392,WHITE MARSH - DOWNTOWN,6.44,0.7,19
PARALLEL DR & SECURITY WEST BUILDING wb,WOODLAWN DR & PARALLEL DR fs nb,10405,SINAI HOSPITAL - SECURITY SQ MALL,6.42,0.26,15
