from_stop_name,to_stop_name,route_id,route_long_name,max_kmph,max_distance_miles,number_of_trips
PENNSYLVANIA AVE SE & LENFANT,F ST & 11TH ST,16,NA,328.61,3.4,84
PENNSYLVANIA AVE & 10TH ST NW,PENNSYLVANIA AVE SE & LENFANT,16,NA,312.18,3.23,84
UNIVERSITY BLVD & INWOOD AVE,UNIVERSITY BLVD & SLIGO CREEK PKWY,125,NA,302.05,0.31,179
UNIVERSITY BLVD & INWOOD AVE,UNIVERSITY BLVD & SLIGO CREEK PKWY,132,NA,302.05,0.31,229
MINNESOTA AVE STATION & BUS BAY B,MINNESOTA AVE NE & BENNING RD NE,230,NA,293.53,0.3,160
UNIVERSITY BLVD & EASECREST DR,UNIVERSITY BLVD & INWOOD AVE,125,NA,258.81,0.27,203
UNIVERSITY BLVD & EASECREST DR,UNIVERSITY BLVD & INWOOD AVE,132,NA,258.81,0.27,307
UNIVERSITY BLVD & RIGGS RD,UNIVERSITY BLVD W & WESTCHESTER DR,125,NA,241.78,5.26,203
UNIVERSITY BLVD & RIGGS RD,UNIVERSITY BLVD W & WESTCHESTER DR,132,NA,241.78,5.26,307
VEIRS MILL RD & UNIVERSITY BLVD,UNIVERSITY BLVD & RIGGS RD,125,NA,225.01,5.59,203
VEIRS MILL RD & UNIVERSITY BLVD,UNIVERSITY BLVD & RIGGS RD,132,NA,225.01,5.59,307
PENNSYLVANIA AVE NW & 12TH ST  NW,I ST & 15TH ST NW,59,NA,6.96,0.52,40
ALABAMA AVE SE & AINGER PL SE,NAYLOR RD SE & GOOD HOPE RD SE,53,NA,6.95,0.25,82
ALABAMA AVE SE & AINGER PL SE,NAYLOR RD SE & GOOD HOPE RD SE,55,NA,6.95,0.25,185
ALABAMA AVE SE & AINGER PL SE,NAYLOR RD SE & GOOD HOPE RD SE,98,NA,6.95,0.25,167
H ST NW & 4TH ST NW,H ST & 1ST ST NW,251,NA,6.95,0.26,280
15TH ST NW & NEW YORK AVE NW,PENNSYLVANIA AVE NW & 14TH ST NW,52,NA,6.93,0.27,18
15TH ST NW & NEW YORK AVE NW,PENNSYLVANIA AVE NW & 14TH ST NW,53,NA,6.93,0.27,21
15TH ST NW & NEW YORK AVE NW,PENNSYLVANIA AVE NW & 14TH ST NW,55,NA,6.93,0.27,55
15TH ST NW & NEW YORK AVE NW,PENNSYLVANIA AVE NW & 14TH ST NW,56,NA,6.93,0.27,12
15TH ST NW & NEW YORK AVE NW,PENNSYLVANIA AVE NW & 14TH ST NW,58,NA,6.93,0.27,47
FRANKLIN SQUARE & BUS BAY B,16TH ST & I ST,222,NA,6.92,0.29,65
H ST NW & 7TH ST NW,H ST NW & 11TH ST NW,254,NA,6.92,0.32,32
EISENHOWER AVE & SWAMP FOX RD,HUNTINGTON STATION (N) & BUS BAY B,210,Richmond Highway Express Bus,6.91,0.47,231
PENNSYLVANIA AVE NW & 24TH ST NW,K ST NW & 21ST ST NW,60,NA,6.86,0.28,56
SEMINARY RD & KENMORE AVE,SOUTHERN TOWERS RD & STRATFORD BLDG,40,NA,6.86,0.26,80
